Wavelength (μm), R (B), T (B), A (B), R (C), T (C), A (C)
0.874980, 0.000289, 0.997268,                     0.002443, 0.249242, 0.426806, 0.323952
0.868765, 0.000119, 0.996354,                     0.003527, 0.252776, 0.426006, 0.321219
0.862638, 0.000109, 0.994965,                     0.004926, 0.255391, 0.425678, 0.318930
0.856597, 0.000262, 0.993454,                     0.006284, 0.257762, 0.425647, 0.316591
0.850640, 0.000576, 0.992043,                     0.007382, 0.260176, 0.426096, 0.313728
0.844765, 0.001045, 0.990196,                     0.008759, 0.261686, 0.427035, 0.311279
0.838971, 0.001680, 0.988198,                     0.010122, 0.262841, 0.428281, 0.308877
0.833256, 0.002482, 0.986326,                     0.011192, 0.264074, 0.429997, 0.305929
0.827618, 0.003431, 0.984065,                     0.012504, 0.264431, 0.432220, 0.303349
0.822056, 0.004542, 0.981636,                     0.013822, 0.264317, 0.434769, 0.300914
0.816568, 0.005823, 0.979355,                     0.014823, 0.264295, 0.437777, 0.297928
0.811153, 0.007239, 0.976745,                     0.016016, 0.263436, 0.441309, 0.295255
0.805809, 0.008809, 0.973947,                     0.017244, 0.261992, 0.445187, 0.292820
0.800535, 0.010548, 0.971319,                     0.018134, 0.260630, 0.449518, 0.289852
0.795330, 0.012409, 0.968426,                     0.019166, 0.258480, 0.454387, 0.287133
0.790192, 0.014409, 0.965332,                     0.020259, 0.255637, 0.459622, 0.284741
0.785120, 0.016575, 0.962430,                     0.020995, 0.252845, 0.465298, 0.281857
0.780113, 0.018848, 0.959321,                     0.021831, 0.249325, 0.471525, 0.279150
0.775169, 0.021242, 0.956011,                     0.022746, 0.245016, 0.478129, 0.276856
0.770288, 0.023794, 0.952907,                     0.023300, 0.240711, 0.485155, 0.274134
0.765467, 0.026439, 0.949658,                     0.023903, 0.235748, 0.492729, 0.271523
0.760707, 0.029183, 0.946209,                     0.024608, 0.229924, 0.500681, 0.269395
0.756005, 0.032073, 0.942977,                     0.024949, 0.224051, 0.509022, 0.266928
0.751361, 0.035043, 0.939661,                     0.025296, 0.217605, 0.517879, 0.264516
0.746774, 0.038086, 0.936151,                     0.025763, 0.210265, 0.527092, 0.262643
0.742242, 0.041262, 0.932864,                     0.025874, 0.202827, 0.536630, 0.260543
0.737766, 0.044504, 0.929552,                     0.025944, 0.194926, 0.546619, 0.258454
0.733342, 0.047791, 0.926058,                     0.026151, 0.186153, 0.556902, 0.256944
0.728972, 0.051196, 0.922787,                     0.026017, 0.177260, 0.567405, 0.255336
0.724653, 0.054654, 0.919547,                     0.025799, 0.168046, 0.578241, 0.253713
0.720385, 0.058130, 0.916134,                     0.025736, 0.158056, 0.589255, 0.252689
0.716168, 0.061704, 0.912948,                     0.025349, 0.147973, 0.600324, 0.251703
0.711999, 0.065318, 0.909837,                     0.024844, 0.137758, 0.611544, 0.250699
